game_id,season,ou_line,q3_cumul,q4_total,final_total,q3_lead,avg_q_pace,pace_ratio,h1_total,q1_total,q2_total,q3_total,pace_trend,scoring_variance,late_q3_pts,late5_q3_pts,early_q3_pts,q3_intra_accel,three_rate,ft_rate,two_rate,q3_three_rate,q3_ft_rate,q3_max_run,q3_max_dry_spell,q3_turnovers,q3_fouls,q1_scoring_plays,q2_scoring_plays,q3_scoring_plays,scoring_play_trend,scoring_play_variance,lead_volatility,lead_range,q3_lead_change,late_q3_scoring_plays
401359836,2021-22,218.5,184,69,253,4,61.333333333333336,1.1228070175438596,134,64,70,50,-14,8.379870059984356,18,24,22,6,0.1978021978021978,0.17582417582417584,0.6263736263736264,0.14814814814814814,0.2962962962962963,5,91.0,2,9,29,35,27,-2,3.39934634239519,2.3553131426627756,9,-8,11
401359837,2021-22,232.0,170,60,230,28,56.666666666666664,0.9770114942528736,117,53,64,53,0,5.185449728701348,13,19,27,-1,0.23255813953488372,0.27906976744186046,0.4883720930232558,0.17857142857142858,0.32142857142857145,11,1498.0,6,15,29,29,28,-1,0.4714045207910317,3.901009836702811,15,1,8
401359838,2021-22,224.0,151,63,214,11,50.333333333333336,0.8988095238095238,106,54,52,45,-9,3.8586123009300755,8,12,30,-15,0.18421052631578946,0.21052631578947367,0.6052631578947368,0.21739130434782608,0.2608695652173913,10,1602.0,2,4,27,26,23,-4,1.699673171197595,3.693462068285187,14,-11,3
401359839,2021-22,212.5,165,55,220,23,55.0,1.035294117647059,110,60,50,55,-5,4.08248290463863,16,25,24,7,0.20238095238095238,0.23809523809523808,0.5595238095238095,0.3333333333333333,0.041666666666666664,6,1619.0,5,8,31,29,24,-7,2.943920288775949,3.157038506643761,15,11,6
401359840,2021-22,221.5,146,47,193,20,48.666666666666664,0.8788562829194884,96,45,51,50,5,2.6246692913372702,13,24,23,4,0.18181818181818182,0.23376623376623376,0.5844155844155844,0.2916666666666667,0.20833333333333334,5,1166.0,5,10,26,27,24,-2,1.247219128924647,4.072127481086787,14,8,5
401359841,2021-22,234.0,185,60,245,15,61.666666666666664,1.0541310541310542,111,47,64,74,27,11.145502331533658,14,21,40,-6,0.20618556701030927,0.30927835051546393,0.4845360824742268,0.2857142857142857,0.2,7,1970.0,1,7,25,37,35,10,5.2493385826745405,2.095690668657525,9,-2,6
401359842,2021-22,222.5,174,58,232,36,58.0,1.0426966292134832,115,57,58,59,2,0.816496580927726,5,18,36,-13,0.20212765957446807,0.35106382978723405,0.44680851063829785,0.23333333333333334,0.26666666666666666,10,1201.0,5,13,30,34,30,0,1.8856180831641267,2.4720334231927303,11,7,3
401359843,2021-22,226.0,179,56,235,1,59.666666666666664,1.056047197640118,113,57,56,66,9,4.4969125210773475,12,26,34,-2,0.16842105263157894,0.28421052631578947,0.5473684210526316,0.13513513513513514,0.35135135135135137,7,1483.0,6,10,29,29,37,8,3.7712361663282534,2.577344723197307,13,-6,8
401359844,2021-22,213.0,150,67,217,22,50.0,0.9389671361502347,100,52,48,50,-2,1.632993161855452,9,18,27,-4,0.37142857142857144,0.22857142857142856,0.4,0.3333333333333333,0.25,11,2791.0,3,7,23,23,24,1,0.4714045207910317,5.053343545785852,18,8,3
401359846,2021-22,217.5,148,50,198,20,49.333333333333336,0.90727969348659,98,46,52,50,4,2.494438257849294,5,15,31,-12,0.18181818181818182,0.2597402597402597,0.5584415584415584,0.14814814814814814,0.2962962962962963,13,1013.0,5,9,20,30,27,7,4.189935029992178,5.028627974903632,18,-16,2
401359847,2021-22,223.0,167,73,240,17,55.666666666666664,0.9985052316890882,112,45,67,55,10,8.993825042154693,5,15,37,-19,0.2235294117647059,0.2823529411764706,0.49411764705882355,0.1724137931034483,0.27586206896551724,6,1901.0,3,8,23,33,29,6,4.109609335312651,2.812776608144453,10,-1,4
401359848,2021-22,221.0,173,42,215,27,57.666666666666664,1.043740573152338,116,55,61,57,2,2.494438257849294,14,33,22,13,0.25609756097560976,0.1951219512195122,0.5487804878048781,0.2692307692307692,0.11538461538461539,10,2771.0,9,10,28,28,26,-2,0.9428090415820634,2.966952910539882,14,5,8
401359849,2021-22,222.0,149,49,198,9,49.666666666666664,0.8948948948948949,103,48,55,46,-2,3.8586123009300755,10,16,28,-10,0.1643835616438356,0.1232876712328767,0.7123287671232876,0.08333333333333333,0.16666666666666666,11,1055.0,8,8,24,25,24,0,0.4714045207910317,4.161158232907097,15,6,5
401359850,2021-22,226.5,161,50,211,1,53.666666666666664,0.9477557027225901,98,50,48,63,13,6.649979114420002,18,27,31,1,0.24691358024691357,0.2839506172839506,0.4691358024691358,0.2647058823529412,0.4117647058823529,6,72.0,6,14,24,23,34,10,4.96655480858378,1.9899315000589193,10,-7,8
401359851,2021-22,223.5,155,41,196,11,51.666666666666664,0.9246830723340791,107,51,56,48,-3,3.299831645537222,4,17,27,-6,0.175,0.25,0.575,0.14285714285714285,0.42857142857142855,14,1380.0,3,14,27,25,28,1,1.247219128924647,4.6177088012781455,17,14,2
401359853,2021-22,216.5,146,52,198,2,48.666666666666664,0.8991531947652041,96,43,53,50,7,4.189935029992179,4,16,29,-8,0.22972972972972974,0.28378378378378377,0.4864864864864865,0.16666666666666666,0.16666666666666666,12,1199.0,4,11,21,29,24,3,3.2998316455372216,5.051762806232331,16,-8,3
401359854,2021-22,213.5,133,46,179,25,44.333333333333336,0.8306010928961749,97,59,38,36,-23,10.402991022884823,13,17,17,2,0.15492957746478872,0.28169014084507044,0.5633802816901409,0.2222222222222222,0.2222222222222222,11,1277.0,5,6,29,24,18,-11,4.496912521077347,4.608060868272733,14,14,8
401359855,2021-22,228.5,136,49,185,2,45.333333333333336,0.7935813274981766,95,55,40,41,-14,6.847546194724712,7,13,24,-7,0.22388059701492538,0.208955223880597,0.5671641791044776,0.08333333333333333,0.375,10,1515.0,11,11,24,19,24,0,2.3570226039551585,4.200087249409341,13,-11,5
401359856,2021-22,225.5,166,66,232,4,55.333333333333336,0.9815225424981523,108,64,44,58,-6,8.379870059984356,11,17,34,-10,0.18072289156626506,0.18072289156626506,0.6385542168674698,0.12903225806451613,0.25806451612903225,11,2041.0,4,5,31,21,31,0,4.714045207910316,4.072799187580249,16,0,6
401359857,2021-22,229.0,187,52,239,25,62.333333333333336,1.0887918486171762,114,54,60,73,19,7.93025150224688,11,24,41,-9,0.23333333333333334,0.2,0.5666666666666667,0.22857142857142856,0.22857142857142856,10,738.0,3,11,25,30,35,10,4.08248290463863,2.749539906879012,12,5,6
401359858,2021-22,226.5,186,48,234,8,62.0,1.0949227373068433,121,59,62,65,6,2.449489742783178,13,19,42,-19,0.21505376344086022,0.23655913978494625,0.5483870967741935,0.1111111111111111,0.3333333333333333,13,1275.0,6,10,26,31,36,10,4.08248290463863,5.874802346967378,21,-11,7
401359859,2021-22,233.5,157,49,206,1,52.333333333333336,0.8965024982155603,108,58,50,49,-9,4.027681991198191,8,18,26,-3,0.13095238095238096,0.2857142857142857,0.5833333333333334,0.16,0.2,6,1417.0,2,6,31,28,25,-6,2.449489742783178,3.1034074679505013,12,-9,5
401359860,2021-22,212.0,154,60,214,6,51.333333333333336,0.9685534591194969,109,56,53,45,-11,4.642796092394707,7,14,27,-9,0.21518987341772153,0.31645569620253167,0.46835443037974683,0.11538461538461539,0.38461538461538464,10,1020.0,3,10,25,28,26,1,1.247219128924647,2.7722574503142274,12,1,4
401359861,2021-22,221.0,161,43,204,17,53.666666666666664,0.971342383107089,104,52,52,57,5,2.357022603955158,14,22,31,-5,0.275,0.3,0.425,0.1935483870967742,0.41935483870967744,10,1410.0,4,14,26,23,31,5,3.299831645537222,5.881927492872059,20,-15,9
401359862,2021-22,216.0,165,53,218,9,55.0,1.0185185185185186,110,62,48,55,-7,5.715476066494082,10,20,33,-11,0.21176470588235294,0.2823529411764706,0.5058823529411764,0.1724137931034483,0.27586206896551724,7,960.0,4,9,31,25,29,-2,2.494438257849294,2.004449587806282,8,-1,5
401359863,2021-22,234.5,178,48,226,2,59.333333333333336,1.0120824449182657,122,60,62,56,-4,2.494438257849294,11,16,37,-18,0.19101123595505617,0.23595505617977527,0.5730337078651685,0.1111111111111111,0.1111111111111111,6,1075.0,4,5,28,34,27,-1,3.0912061651652345,2.0986321772302365,9,-4,6
401359864,2021-22,225.5,177,62,239,3,59.0,1.0465631929046564,118,53,65,59,6,4.898979485566356,8,25,30,-1,0.24705882352941178,0.16470588235294117,0.5882352941176471,0.2962962962962963,0.1111111111111111,7,1199.0,3,9,29,29,27,-2,0.9428090415820634,2.6544910803616615,10,-9,4
401359866,2021-22,229.5,187,41,228,15,62.333333333333336,1.0864197530864197,123,63,60,64,1,1.699673171197595,10,30,34,-4,0.1782178217821782,0.3564356435643564,0.46534653465346537,0.19444444444444445,0.4444444444444444,8,1381.0,2,13,36,29,36,0,3.299831645537222,2.541281614638165,9,-6,5
401359867,2021-22,212.5,174,52,226,16,58.0,1.091764705882353,116,46,70,58,12,9.797958971132712,12,22,31,-4,0.18888888888888888,0.26666666666666666,0.5444444444444444,0.25925925925925924,0.1111111111111111,8,2026.0,3,5,26,37,27,1,4.96655480858378,3.226391172812125,12,8,5
401359868,2021-22,229.5,146,48,194,18,48.666666666666664,0.8482207697893972,101,58,43,45,-13,6.649979114420001,8,19,26,-7,0.17333333333333334,0.26666666666666666,0.56,0.16,0.4,10,1198.0,1,11,27,23,25,-2,1.632993161855452,2.184095843588197,9,1,5
401359869,2021-22,211.0,151,46,197,11,50.333333333333336,0.9541864139020537,101,42,59,50,8,6.944222218666553,9,15,28,-6,0.12195121951219512,0.2926829268292683,0.5853658536585366,0.14285714285714285,0.39285714285714285,7,1162.0,3,14,21,33,28,7,4.9216076867444665,1.9166415751699775,7,-2,6
401359870,2021-22,213.5,172,47,219,12,57.333333333333336,1.07416081186573,112,48,64,60,12,6.79869268479038,7,22,31,-2,0.21839080459770116,0.27586206896551724,0.5057471264367817,0.21875,0.34375,7,1887.0,5,10,25,30,32,7,2.943920288775949,2.4274704860741356,10,-2,5
401359871,2021-22,224.5,153,52,205,7,51.0,0.9086859688195991,97,44,53,56,12,5.0990195135927845,15,24,28,0,0.21951219512195122,0.36585365853658536,0.4146341463414634,0.2692307692307692,0.15384615384615385,11,1979.0,7,7,22,34,26,4,4.988876515698588,4.038001305776726,17,4,6
401359872,2021-22,221.5,145,41,186,5,48.333333333333336,0.872836719337848,96,53,43,49,-4,4.109609335312651,6,14,30,-11,0.15384615384615385,0.2948717948717949,0.5512820512820513,0.19230769230769232,0.3076923076923077,7,1141.0,10,15,27,25,26,-1,0.816496580927726,2.6487303588685176,11,-1,4
401359873,2021-22,230.0,152,50,202,30,50.666666666666664,0.881159420289855,98,48,50,54,6,2.494438257849294,10,13,40,-26,0.21052631578947367,0.2236842105263158,0.5657894736842105,0.0967741935483871,0.3548387096774194,12,1221.0,8,12,22,23,31,9,4.0276819911981905,5.021450978202114,17,16,7
401359874,2021-22,217.0,162,49,211,18,54.0,0.9953917050691244,104,49,55,58,9,3.7416573867739413,8,15,35,-12,0.26506024096385544,0.3132530120481928,0.42168674698795183,0.38461538461538464,0.15384615384615385,7,1563.0,3,10,28,29,26,-2,1.247219128924647,2.24781494994847,9,-2,4
401359875,2021-22,223.5,157,47,204,5,52.333333333333336,0.9366144668158091,107,62,45,50,-12,7.1336448530109,12,18,27,-4,0.19230769230769232,0.24358974358974358,0.5641025641025641,0.23076923076923078,0.34615384615384615,8,751.0,4,13,30,22,26,-4,3.265986323710904,3.9178987423816296,17,-16,7
401359876,2021-22,222.5,179,43,222,3,59.666666666666664,1.0726591760299626,117,58,59,62,4,1.699673171197595,11,20,31,0,0.21978021978021978,0.2967032967032967,0.4835164835164835,0.21212121212121213,0.3333333333333333,11,2463.0,8,14,28,30,33,5,2.0548046676563256,2.6060602580498986,14,6,7
401359878,2021-22,218.5,181,51,232,1,60.333333333333336,1.1045003813882532,130,66,64,51,-15,6.649979114420002,8,16,29,-7,0.14893617021276595,0.2553191489361702,0.5957446808510638,0.2,0.2,5,845.0,10,7,33,36,25,-8,4.642796092394706,1.7227027395782486,7,-1,4
401359879,2021-22,221.0,184,47,231,2,61.333333333333336,1.110105580693816,125,62,63,59,-3,1.699673171197595,10,18,33,-7,0.23076923076923078,0.24175824175824176,0.5274725274725275,0.21428571428571427,0.17857142857142858,8,1107.0,8,10,32,31,28,-4,1.699673171197595,2.876854905950989,11,5,5
401359880,2021-22,224.0,175,48,223,1,58.333333333333336,1.0416666666666667,114,43,71,61,18,11.585431464655176,13,22,32,-5,0.17391304347826086,0.30434782608695654,0.5217391304347826,0.17142857142857143,0.4857142857142857,8,1499.0,10,14,22,35,35,13,6.128258770283412,4.204858955947746,17,11,8
401359881,2021-22,217.5,155,44,199,7,51.666666666666664,0.9501915708812261,100,51,49,55,4,2.494438257849294,9,20,26,3,0.18518518518518517,0.2962962962962963,0.5185185185185185,0.32142857142857145,0.35714285714285715,14,1562.0,5,12,25,28,28,3,1.4142135623730951,4.192486392197395,17,-9,4
401359882,2021-22,214.0,158,60,218,16,52.666666666666664,0.9844236760124611,105,53,52,53,0,0.4714045207910317,15,22,31,-9,0.17721518987341772,0.20253164556962025,0.620253164556962,0.28,0.24,6,1208.0,5,8,29,25,25,-4,1.8856180831641267,2.3207331749117137,10,7,6
401359883,2021-22,220.5,161,40,201,7,53.666666666666664,0.9735449735449735,112,52,60,49,-3,4.642796092394707,8,13,31,-13,0.18518518518518517,0.19753086419753085,0.6172839506172839,0.20833333333333334,0.16666666666666666,7,624.0,3,5,26,31,24,-2,2.943920288775949,2.8466278814959503,13,-13,5
401359884,2021-22,231.5,173,48,221,15,57.666666666666664,0.9964002879769619,124,78,46,49,-29,14.429907214608907,5,15,29,-9,0.25287356321839083,0.27586206896551724,0.47126436781609193,0.25,0.20833333333333334,7,1384.0,4,9,39,24,24,-15,7.0710678118654755,3.339572180225901,15,-7,3
401359885,2021-22,217.0,192,46,238,2,64.0,1.1797235023041475,128,60,68,64,4,3.265986323710904,15,20,36,-8,0.19387755102040816,0.2755102040816326,0.5306122448979592,0.25,0.3125,8,1403.0,5,13,30,36,32,2,2.494438257849294,4.034912794844858,20,18,7
401359886,2021-22,224.5,158,59,217,6,52.666666666666664,0.9383815887156645,114,52,62,44,-8,7.363574011458175,5,18,24,-4,0.12345679012345678,0.18518518518518517,0.691358024691358,0.18181818181818182,0.18181818181818182,8,957.0,7,9,27,32,22,-5,4.08248290463863,3.768174422571357,15,-14,3
401359887,2021-22,233.0,164,48,212,10,54.666666666666664,0.9384835479256081,108,51,57,56,5,2.6246692913372702,11,17,29,-2,0.275,0.275,0.45,0.13333333333333333,0.3333333333333333,6,1505.0,8,15,23,27,30,7,2.8674417556808756,5.175486837003838,17,16,7
401359888,2021-22,219.0,136,35,171,8,45.333333333333336,0.8280060882800608,87,37,50,49,12,5.90668171555645,7,15,28,-7,0.0945945945945946,0.3108108108108108,0.5945945945945946,0.15384615384615385,0.3076923076923077,7,958.0,4,11,21,27,26,5,2.6246692913372702,1.5512574244385702,8,-1,5
401359889,2021-22,211.5,146,66,212,12,48.666666666666664,0.9204097714736013,98,43,55,48,5,4.921607686744467,10,14,29,-10,0.12658227848101267,0.3037974683544304,0.569620253164557,0.125,0.20833333333333334,6,124.0,4,9,25,30,24,-1,2.6246692913372702,2.4957995982356507,8,6,6
401359890,2021-22,222.0,186,47,233,14,62.0,1.117117117117117,119,65,54,67,2,5.715476066494082,10,23,36,-5,0.1702127659574468,0.20212765957446807,0.6276595744680851,0.1388888888888889,0.2777777777777778,7,86.0,6,10,31,27,36,5,3.6817870057290873,2.74063393764386,11,5,6
401359891,2021-22,216.0,155,52,207,9,51.666666666666664,0.9567901234567902,106,52,54,49,-3,2.0548046676563256,3,13,30,-11,0.24050632911392406,0.27848101265822783,0.4810126582278481,0.25,0.5,10,88.0,4,13,24,27,28,4,1.699673171197595,3.1718780500203985,12,-5,2
401359892,2021-22,222.5,164,49,213,20,54.666666666666664,0.9827715355805243,101,50,51,63,13,5.90668171555645,9,14,47,-31,0.19318181818181818,0.375,0.4318181818181818,0.25,0.34375,10,1437.0,3,10,27,29,32,5,2.0548046676563256,4.6310929038807895,17,1,4
401359893,2021-22,219.5,152,51,203,0,50.666666666666664,0.9233105542900532,96,40,56,56,16,7.542472332656507,11,20,27,2,0.3188405797101449,0.14492753623188406,0.5362318840579711,0.2692307692307692,0.15384615384615385,6,85.0,5,8,20,23,26,6,2.449489742783178,2.2186725535844007,8,2,5
401359895,2021-22,206.0,155,64,219,1,51.666666666666664,1.0032362459546926,105,43,62,50,7,7.845734863959881,11,19,25,0,0.17721518987341772,0.21518987341772153,0.6075949367088608,0.11538461538461539,0.19230769230769232,7,2224.0,4,11,20,33,26,6,5.312459150169742,2.623026654265407,10,-4,7
401359896,2021-22,223.5,159,44,203,11,53.0,0.9485458612975392,113,64,49,46,-18,7.874007874011811,5,17,23,0,0.10869565217391304,0.41304347826086957,0.4782608695652174,0.1111111111111111,0.4074074074074074,10,2459.0,4,15,33,32,27,-6,2.6246692913372702,3.562891030022044,13,8,3
401359897,2021-22,222.0,159,54,213,9,53.0,0.954954954954955,110,55,55,49,-6,2.8284271247461903,9,20,25,-1,0.1927710843373494,0.30120481927710846,0.5060240963855421,0.2916666666666667,0.2916666666666667,6,1077.0,6,10,26,33,24,-2,3.8586123009300755,2.7404169763161286,10,-9,4
401359898,2021-22,221.5,149,73,222,5,49.666666666666664,0.8969149736644093,107,59,48,42,-17,7.039570693980959,10,17,23,-4,0.15584415584415584,0.23376623376623376,0.6103896103896104,0.13636363636363635,0.22727272727272727,9,117.0,5,10,29,26,22,-7,2.8674417556808756,4.006138923127012,16,6,6
401359899,2021-22,216.5,143,38,181,31,47.666666666666664,0.8806774441878368,98,50,48,45,-5,2.0548046676563256,10,23,22,1,0.16216216216216217,0.2702702702702703,0.5675675675675675,0.16666666666666666,0.3333333333333333,11,106.0,7,13,27,23,24,-3,1.699673171197595,7.516233219821269,24,21,5
401359900,2021-22,223.5,143,60,203,9,47.666666666666664,0.8530947054436987,88,49,39,55,6,6.599663291074444,12,23,23,9,0.38461538461538464,0.2153846153846154,0.4,0.2962962962962963,0.2962962962962963,11,682.0,3,9,21,17,27,6,4.109609335312651,3.6377720788551673,15,1,5
401359901,2021-22,222.0,173,41,214,3,57.666666666666664,1.039039039039039,108,49,59,65,16,6.599663291074444,10,27,36,-7,0.14772727272727273,0.2159090909090909,0.6363636363636364,0.26666666666666666,0.2,7,1732.0,2,6,26,32,30,4,2.494438257849294,3.765402043742528,12,3,4
401359903,2021-22,207.5,155,58,213,9,51.666666666666664,0.9959839357429718,95,45,50,60,15,6.236095644623236,10,26,26,8,0.25925925925925924,0.345679012345679,0.3950617283950617,0.3793103448275862,0.3103448275862069,13,2501.0,5,13,22,30,29,7,3.559026084010437,5.024042966465771,19,8,5
401359904,2021-22,214.0,171,69,240,5,57.0,1.0654205607476634,122,62,60,49,-13,5.715476066494082,8,18,26,-3,0.23529411764705882,0.23529411764705882,0.5294117647058824,0.2608695652173913,0.17391304347826086,7,1260.0,4,8,32,30,23,-9,3.8586123009300755,2.5405564515147727,10,-1,4
401359905,2021-22,212.5,133,58,191,1,44.333333333333336,0.8345098039215686,93,47,46,40,-7,3.0912061651652345,6,11,24,-8,0.21212121212121213,0.19696969696969696,0.5909090909090909,0.4117647058823529,0.058823529411764705,7,1074.0,8,9,24,25,17,-7,3.559026084010437,1.8382015842115214,7,-2,3
401359906,2021-22,217.0,158,58,216,20,52.666666666666664,0.9708141321044547,106,43,63,52,9,8.178562764256865,5,14,34,-16,0.1686746987951807,0.2891566265060241,0.5421686746987951,0.14814814814814814,0.2222222222222222,6,1564.0,5,10,25,31,27,2,2.494438257849294,2.6592007919750653,10,6,2
401359907,2021-22,218.5,151,55,206,7,50.333333333333336,0.9214340198321892,111,49,62,40,-9,9.030811456096044,8,15,23,-6,0.11494252873563218,0.3793103448275862,0.5057471264367817,0.043478260869565216,0.30434782608695654,7,1257.0,4,11,29,35,23,-6,4.898979485566356,3.5756904410445705,12,10,4
401359908,2021-22,215.0,181,51,232,23,60.333333333333336,1.1224806201550388,121,60,61,60,0,0.4714045207910317,7,26,31,-2,0.3258426966292135,0.3146067415730337,0.3595505617977528,0.39285714285714285,0.25,8,1037.0,5,9,31,30,28,-3,1.247219128924647,3.205240747717673,13,-10,3
401359909,2021-22,223.5,136,59,195,2,45.333333333333336,0.8113348247576435,92,51,41,44,-7,4.189935029992179,11,20,22,0,0.14084507042253522,0.2535211267605634,0.6056338028169014,0.125,0.2916666666666667,9,2243.0,1,7,24,23,24,0,0.4714045207910317,2.68223321133715,10,-4,6
401359910,2021-22,217.5,140,45,185,24,46.666666666666664,0.8582375478927203,99,48,51,41,-7,4.189935029992179,1,9,30,-19,0.2835820895522388,0.208955223880597,0.5074626865671642,0.4444444444444444,0.16666666666666666,11,2592.0,3,6,24,25,18,-6,3.0912061651652345,2.9856217684513595,15,13,1
401359911,2021-22,219.5,142,42,184,4,47.333333333333336,0.8625664388762339,90,55,35,52,-3,8.806563209081938,11,20,27,-2,0.2112676056338028,0.23943661971830985,0.5492957746478874,0.32,0.32,6,1288.0,5,10,28,18,25,-3,4.189935029992178,2.321447765758995,9,0,4
401359912,2021-22,216.0,143,50,193,13,47.666666666666664,0.8827160493827161,96,55,41,47,-8,5.734883511361751,2,12,31,-15,0.19444444444444445,0.20833333333333334,0.5972222222222222,0.21739130434782608,0.17391304347826086,10,2458.0,5,5,29,20,23,-6,3.7416573867739413,5.700773907766542,22,9,1
401359913,2021-22,218.5,154,50,204,10,51.333333333333336,0.9397406559877955,100,53,47,54,1,3.091206165165235,11,21,29,-4,0.15,0.225,0.625,0.10344827586206896,0.2413793103448276,5,1580.0,1,8,25,26,29,4,1.699673171197595,2.231428457106271,11,4,5
401359914,2021-22,231.0,177,61,238,1,59.0,1.0216450216450217,113,56,57,64,8,3.559026084010437,12,24,35,-6,0.30120481927710846,0.1927710843373494,0.5060240963855421,0.15151515151515152,0.24242424242424243,7,1140.0,4,10,24,26,33,9,3.8586123009300755,3.7902814713157644,14,8,7
401359915,2021-22,222.0,153,49,202,15,51.0,0.918918918918919,105,53,52,48,-5,2.160246899469287,9,21,27,-6,0.19230769230769232,0.2948717948717949,0.5128205128205128,0.11538461538461539,0.3076923076923077,8,844.0,3,10,23,29,26,3,2.449489742783178,2.9249881291307074,12,-6,4
401359916,2021-22,211.0,170,38,208,22,56.666666666666664,1.0742496050552923,113,53,60,57,4,2.8674417556808756,9,24,24,9,0.18072289156626506,0.20481927710843373,0.6144578313253012,0.2962962962962963,0.25925925925925924,5,1393.0,7,9,27,29,27,0,0.9428090415820634,2.482596608129019,11,7,5
