game_id,season,ou_line,q3_cumul,q4_total,final_total,q3_lead,avg_q_pace,pace_ratio,h1_total,q1_total,q2_total,q3_total,pace_trend,scoring_variance,late_q3_pts,late5_q3_pts,early_q3_pts,q3_intra_accel,three_rate,ft_rate,two_rate,q3_three_rate,q3_ft_rate,q3_max_run,q3_max_dry_spell,q3_turnovers,q3_fouls,q1_scoring_plays,q2_scoring_plays,q3_scoring_plays,scoring_play_trend,scoring_play_variance,lead_volatility,lead_range,q3_lead_change,late_q3_scoring_plays
401358773,2021-22,234.0,182,49,231,12,60.666666666666664,1.037037037037037,125,62,63,57,-5,2.6246692913372702,13,20,33,-9,0.2247191011235955,0.24719101123595505,0.5280898876404494,0.15625,0.375,6,1406.0,2,13,29,28,32,3,1.699673171197595,1.9706136702863182,7,5,7
401358774,2021-22,226.5,168,67,235,2,56.0,0.9889624724061811,112,66,46,56,-10,8.16496580927726,9,17,31,-6,0.1590909090909091,0.2840909090909091,0.5568181818181818,0.2413793103448276,0.3103448275862069,8,1479.0,4,11,35,24,29,-6,4.496912521077347,2.338824842436606,10,-4,5
401358776,2021-22,224.0,167,41,208,3,55.666666666666664,0.9940476190476191,109,46,63,58,12,7.1336448530109,13,25,28,2,0.2875,0.2125,0.5,0.37037037037037035,0.2222222222222222,11,1386.0,5,14,22,31,27,5,3.681787005729087,4.9993784191193384,18,-10,8
401358777,2021-22,225.5,150,50,200,22,50.0,0.8869179600886918,95,42,53,55,13,5.715476066494082,12,28,20,15,0.21333333333333335,0.24,0.5466666666666666,0.3076923076923077,0.19230769230769232,10,94.0,1,9,20,29,26,6,3.7416573867739413,4.7103076129505,15,15,8
401358778,2021-22,229.0,183,45,228,3,61.0,1.0655021834061136,133,71,62,50,-21,8.602325267042627,8,18,30,-10,0.21505376344086022,0.25806451612903225,0.5268817204301075,0.2,0.2,5,2184.0,6,8,34,34,25,-9,4.242640687119285,2.364828328118465,8,-2,3
401358779,2021-22,224.5,176,47,223,6,58.666666666666664,1.0452858203414996,117,62,55,59,-3,2.8674417556808756,12,22,32,-5,0.20930232558139536,0.20930232558139536,0.5813953488372093,0.2962962962962963,0.14814814814814814,6,1552.0,5,7,28,31,27,-1,1.699673171197595,1.7677056274700393,9,-1,6
401358780,2021-22,221.5,161,59,220,27,53.666666666666664,0.9691497366440933,101,49,52,60,11,4.642796092394707,15,19,31,-2,0.17045454545454544,0.3522727272727273,0.4772727272727273,0.11428571428571428,0.4,11,1564.0,2,14,24,29,35,11,4.496912521077347,6.371860290882835,19,-14,11
401358781,2021-22,206.5,147,41,188,15,49.0,0.9491525423728814,112,51,61,35,-16,10.708252269472673,5,15,12,11,0.4153846153846154,0.16923076923076924,0.4153846153846154,0.4666666666666667,0.13333333333333333,8,149.0,3,3,22,28,15,-7,5.312459150169742,3.766450528612786,12,5,2
401358782,2021-22,221.5,184,46,230,4,61.333333333333336,1.1075996990218209,109,57,52,75,18,9.877021593352703,7,26,42,-9,0.2553191489361702,0.30851063829787234,0.43617021276595747,0.25,0.375,9,1039.0,4,13,27,27,40,13,6.128258770283411,4.542878057666963,16,11,5
401358783,2021-22,215.5,168,55,223,0,56.0,1.0394431554524362,120,60,60,48,-12,5.656854249492381,10,19,28,-8,0.13978494623655913,0.3655913978494624,0.4946236559139785,0.10714285714285714,0.39285714285714285,9,1013.0,2,12,32,33,28,-4,2.160246899469287,3.1410981175076973,10,-4,6
401358784,2021-22,222.5,184,53,237,20,61.333333333333336,1.1026217228464419,128,61,67,56,-5,4.4969125210773475,8,16,35,-14,0.125,0.38461538461538464,0.49038461538461536,0.20689655172413793,0.27586206896551724,6,2167.0,4,8,33,42,29,-4,5.436502143433364,5.611591168169095,22,-16,4
401358785,2021-22,213.5,180,56,236,0,60.0,1.1241217798594847,128,59,69,52,-7,6.97614984548545,6,19,31,-10,0.11538461538461539,0.41346153846153844,0.47115384615384615,0.14285714285714285,0.2857142857142857,7,1292.0,4,14,35,41,28,-7,5.312459150169743,2.281902797855855,11,-2,4
401359833,2021-22,223.0,180,65,245,4,60.0,1.0762331838565022,134,65,69,46,-19,10.03327796219494,11,16,25,-4,0.17391304347826086,0.2717391304347826,0.5543478260869565,0.13043478260869565,0.21739130434782608,24,95.0,5,8,33,36,23,-10,5.557777333511022,9.046588094064374,27,20,6
401359834,2021-22,218.0,140,42,182,2,46.666666666666664,0.8562691131498471,84,34,50,56,22,9.285592184789412,6,20,33,-10,0.1111111111111111,0.18055555555555555,0.7083333333333334,0.13793103448275862,0.20689655172413793,9,2375.0,3,6,17,26,29,12,5.0990195135927845,2.744575506437612,10,-6,3
401359835,2021-22,223.0,140,41,181,22,46.666666666666664,0.8370702541106129,94,44,50,46,2,2.494438257849294,14,22,22,2,0.08536585365853659,0.3902439024390244,0.524390243902439,0.06451612903225806,0.6129032258064516,8,903.0,6,16,23,28,31,8,3.299831645537222,2.106181919330531,9,-2,8
